IMAGE_ID,ENGLISH SENTENCES,LOZI TRANSLATIONS
4011394505,A worker in a bright orange uniform is cleaning up the mess on the street while a small boy in red pants walks by .,mubeleki umwa litino za kubelekela mi wa fiyela mwa mukwakwa
4011411161,"People sitting at white tables in a cafe , with a brown bench filled with thick pillows next to the glass window .","bantu bainzi fa lipula zesweu mwa sitolo, sipula sesimwi ki sesi fubelu"
4011573507,A young man in the air in the middle of a skateboard trick in an urban area .,kalibe wa muchaha waba pala fa kabapaliso kaka zamaya famwa litwa
4011629669,A little blond girl with a pink dress and blue pants walking away from a little boy .,"mwanana wa musizani wa milili ye mifubelu utinile ndelesi nikaputula ka mubala wa malu,inze aya buhule ku mwana wamuchaha"
4011629743,"A man in a khaki jacket and hat , surrounded by bushes , is sitting in front of a body of water .",muuna yamwa mushitu utinile jakete ya kaki 
401233263,A young man wearing a woolen hat plays acoustic guitar while lying against a pillow .,kalibe wamuchaha umwa kuwani yaku luka inze a liza gita alobezi
4013421575,"5 people are in a room with a bookcase and chairs , 2 standing and 3 sitting .","bantu baba keta lizoho bamwa ndu yenani libuka ni lipula, baba beli bayemi, baba lalu bainzi"
4013752334,"Two men holding a Chinese lantern that 's yellow and red , one man has a drill and the other is smiling .",baana baba beli basweli lampi ye fubelu nimubala wa mayi 
4013904088,"A man in an orange shirt , blue bottoms and a head covering is perched in a tree and holding an axe or hatchet .","muuna yatinili siapalo, bulukwe bwa mubala wa malu"
4013937506,"Two Mexican guys standing on outskirts of a field , one has a machete knife and the other has cigarette in his mouth .","baana baba beli bama kuwa bakwande yasimu, yomumwi kubona usweli tipa"
401405215,"While sun is setting , boy is blowing bubbles by rocks new lake or ocean .","lizazi hali likela, kanana ka muchaha kasweli ka bapa lisa mezi"
4014210988,"A man is looking intently at something in his hands while another man , who is slightly behind him , is smoking and holding a can of something in his hand .",muuna usweli watalimisisa sasweli mwama zoho 
4014757090,An Indian man and elderly woman walking away from a building on a sandy road .,muuna ni musali ba mushomo wa India bamaya inze bazwa kwa muyaho fa mukwakwa onani liluli
401476986,A big dog is running in the grassy field with woods behind him .,nja tetuna yamata mwa bucwani ni likota kwa mulaho
4015350856,A tent advertising Surfer Magazine for the 25th annual Longboard Classic on the beach surrounded by palm trees .,tente yezibahalisa za lipapali za kwa liwate
4015422919,"Cute girl at a children 's beauty shop sitting on a toy car having her hair blow-dried , while stylist is smiling and gentleman 's arm is touching the car .","musizani yomunde umwa sintolo, uinzi fa kabapaliso kamota inze bamu omisa milili yamwa toho"
4015868140,A man in an orange uniform jacket holds a phone to the ear of a woman wearing a white shirt .,muuna yamwa jakete ya mubala wa lizazi leli likela usweli luwaile lulo kwamazebe ya musali yatinile zesweu
401649634,"A man wearing a heavy coat , gloves and a hat smokes a cigar in a crowd .",muuna yamwa jansi yebukiti ni kuwani wazuba mwa batu
4016499639,A disabled combat veteran sells hotdogs and pretzels on the sidewalk .,musole wasihole yatuhezi musebezi ulekisa lico kwa lineku la mukwakwa
4017105582,Two men stand strong under the waterfall 's cascade .,baana baba beli bayemi batomile mwatasaa mezi
4017326833,"One woman with long brown hair , black shirt and pantyhose , red skirt , that just threw green ball with yellow streamers in air .","musali alimumwi nimilili yetelele yefubelu, sikochi sesinsu, ni sapalo sesinsu"
4017747090,"Student in a classroom concentrate on their work , guided by a PowerPoint presentation on a large screen .",bana basikolo kwa kilasi basweli babehela ngana inze baetelelwa kika tepu tepu
4018050099,"A young boy wearing a teal shirt , dark blue trousers , and a large red backpack is walking down a brick-paved passage next to a brightly-painted brick wall .",kanana kamuchaha katinile sapalo ni bulukwe bobunsu ni mukotana womutuna wazamaya
4018053887,"A man in a white t-shirt and gray shoulder bag walks along side of a woman in a red , white and blue plaid top who is also in a skirt and boots .",muuna mwa siapalo sesikuswani mazoho sesisweu ulwalezi mukotana wafa maheta wo seta uzamaya nimusali
4018186978,A young man in sneakers and a red jacket is posing with one hand on the ground and the other raised in the air .,"muchaha umwa sikatulo ni jakete yefubelu, lizoho lili limwi inge lisweli fafasi"
4018317730,A man with brown hair is sitting on the sidewalk next to his luggage reading a newspaper .,muuna wa milili yemifubelu uinzi kwa lineku la mukwakwa bukaufi nimi kotana yahae inze a mibala pepa ya makande
4018622493,A man with a long beard is using a paintbrush and drawing on paper .,muuna wami lelu yemitelele usweli waswanisa fa pepa yesweu
4018837343,"Two females sitting on large backed stools in front of a counter inside of a house , with one female turning her head back .",basali baba beli bainzi fa bipula bwebi tuna mwandu
4018839877,Here is a picture of a male model tanning near his swimming pool in his backyard .,see kisi swaniso sa muuna yaola kambalala kwatuko ni mezi kwamulaho yandu yahae
4019072184,"A rock climber dressed in yellow and wearing a red safety helmet is scaling the smooth wall of a high cliff , while another member looks on from the boat in the water .",mupahami wa malundu utinile mwa mubala wa mai ni kuwani kuisileleza ye fubelu ulukisa limota
4019373509,"A young girl dressed in brown dress and sandals scowls at a young boy dressed in black hat , tank top , and blue cargo shorts as he tosses a silver ball towards a identical ball .",mwana yomu ñyinyani wamusizani yatinile mwa bufubelu ni tukatulo uhuweleza kabunyemi kumwana yomumwi wamuchaha yatinile kuwani yensu
40199801,A man with a long white beard is dressed like a wizard in a purple robe with a crowd of people and children behind him .,muuna wamilelu yemitelele yemisweu utinile inge kiwa mabibo mwa jakete
40202068,An older man in a dark blue shirt and an older woman in a beige blazer share a meal and look at one another .,munamuhulu yamwa mibala yeminsu ni musalimuhulu yamwa jakete ya kaki bacha hamoho lico
4020631259,"Warmly , casual dressed people looking at rock art sculptures that are in a body of water .",batu baba tinile za silami batalima liswaniso zamacwe zemwa mezi
4021188118,The football team is ready to make a well calculated play .,sikwata sa batu baba bapala mbola yamahutu baitukiselize  kulaha hande
4021361385,There is a view of the beach with a person with a fruit basket hat in the foreground .,kubona hala mutu yalwalezi litolwani mwa sizuma fa likamba
4021371346,A football player in a yellow and white jersey is jumping up to catch a football kicked by the other team .,mulahi wambola yamahutu yatinile mwa litino za kubapalela za mibala ya mai ni busweu utula kubata kuswala mbola
4021497368,"While the players on the front lines of the football teams mingle , a kicker dressed in a white and yellow jersey kicks the football .",babapali ba mbola yamahutu baba kwa pata hanze bakopana
4021508253,A black lady wearing boots and a long coat is sitting on a bench inside a subway train with earbuds in her ears .,musali yomunsu yatinile sikatulo sesinsu ni jansi yetelele uinzi fa sipula samwa sitima
4021518793,A woman holding an umbrella and a cup and hand holding a little blond boy in a backpack rushing to school .,musali yaswezi sikuku ni komoki niku swalelela mwanaa muchaha yemusweu mwa mukotana
4021561862,The football player in yellow and black is about to be tackled by the other football player in gold and blue .,mulayi wambola yamahutu yamwa sitino sesi nsu ni mubala wa mai utuha aswasiwa ki mulayi yomumwi
4021647447,A female athlete in crimson top and dark blue shorts is running on the street .,musali ya mata yamwa sapalo sesi sweu ni kaputula kakansu usweli wamata mwa silalanda
4022062487,An older women in a white jacket and white pants squatting in the dirt to fix her garden .,musali muhulu mwa jakete nibulukwe ze sweu ukubami mwa sileze kupanga simu yahae
4022170842,"Two firefighters holding a fire-hose , spraying water upwards .",batimi bami lilo baba beli basweli milaha inze ba sela mezi mwahalimu
4022274513,"A man in a blue striped shirt and blue jeans , is playing in the hay .",muuna yamwa sapalo sa mishulundu ni bulukwe bwa mubala wa malu waba pala mwa bucwani
402229993,Ethnic woman in traditional clothing sitting on the ground by artwork designs in chalk .,basali bamushobo ulimumwi bamwa litino za mushomo wabona bainzi fafasi ka liswaniso
4022410703,"A man walks in front of a theater , a marquee above him reads "" BEAUJOLAIS AND MORE , NOV 19 "" .",muuna umwa sibaka sa lipapali mi fapata yahae kuñozwi
402264555,"An older man in white , standing at a fire with tool in hand , and a pile of wood behind the man .",munamuhulu mwa liapalo zesweu uyemi fa likota ni kapula mwalizoho ni ñata yalikota hape kwamulaho
4022843226,"A group of warmly dressed people plant something in three rows , guided by string .",sikwata sabatu baba tinile zasilami bachala inze ba etelekwa kimuhala
4022995667,A woman wearing black leggings and a black tank top is running in a race while bicyclists follow not far behind .,musali yatinile mubulukwe ni sapalo sesinsu wamata mwa lipapali za kumata
4024023598,A man dressed as a pirate greeting a young boy in front of a crowd while underneath a bridge .,muuna yatinile sina lisholi la bafului ulumelisa mwanana wamuchaha yafa pataa ngundi ya batu
4024098174,This man is skiing in the white snow and going through a course of some kind .,muuna yo usweli waba pala mwa litwa
4024855306,vegetables on a stand with people waking around in the background .,miloho ni litolwani ifa litafule ni batu inge bazamaya zamaya
4025432630,A man is carrying six wooden logs over his left shoulder while holding another log in his right hand .,muuna ulwalezi likota fa liheta lazooto zeketa lizoho niilimwi 
40261771,A crowd of black people are gathered and one person has a backpack on .,ngundi yabatu baba nsu bakopani mi alimwi kubona unani mukotana wakunanulela kwamukokoto
4026365920,"A man in a pink shirt is looking at a laptop computer , while a lady in a black and white print dress , is blowing on her coffee cup .",muuna yamwa saapalo sesi sweu utalimezi faka tepu tepu
402640335,"A man dressed in a sport coat , slacks and nice shoes , posing in a very busily-decorated room , while wearing a dark green mask that has large yellow monster teeth , a single orange eye , and completely covers his head .","muuna yatinile mwa jansi la lipapali za kutiisa mibili, makatulo amande"
402668805,"Kids practicing martial arts in a dojo , while older members look on .",banana basweli baeza papali yaku lwana mi babamwi batalimezi
40267450,A man balancing a green ball on a pole for a crowd on the street .,muuna ya sweli kakumamela ka mbola kamubala wa bucwani fa ka sipi kwa sicaba safa mukwakwa
402685953,"A cowboy wearing a baseball cap is on a horse in a rodeo corral preparing to throw the rope he is spinning over the young , small steer which he is chasing .",michaha yapahama lipizi utinile kuwani uitukiseza kunepa muhala
4027160843,Looks like a male and a female posing for a picture and dressed in costumes from the 1950 's .,kubonahala inge muuna nimusali baba tinili litino zamwa ma 1950's babayemi kuli baingiwe liswaniso zabona
4027325112,Two men at a fish market filled with boxes of fish and freshly cut fillets study a weight scale .,baana baba beli kwa musika wa litapi batazize limbokesi ni litapi zemezi kuli lipimiwe fa sikelu
402839598,"The young girl wearing a pink shirt is putting a box , with a drawn face and bow , on a shelf along with other food .",mwanana wamusizani yatinile sapalo ubeya mbokesi ni sifateho sesi swanisizwe
402840967,"Three people are in an airport with one laying on the ground , a woman sitting against the window and a man standing with his luggage .","batu babalalu bakwa sibaka koku pahamelwa lifulai, yomumwi ulobezi fafasi"
4028888343,A man in a short-sleeve shirt is ironing a shirt while smoking a cigarette .,muuna yamwa sapalo samazoho yama kuswani uotolola sapalo inze a zuba kwai
402897160,A man wearing glasses and a brown jacket shovels very deep snow off a sidewalk .,muuna yatinile magilasi akwa meto ni jakete ye fubelu usweli wazusa litwa ni sipangaliko kwatuko nimukwakwa
402942802,A man in a green sweater and jeans sits on a lawn chair with many shopping bags at his feet .,muuna mwa sweta yamubala wa matali ni bulukwe uinzi fa sipula mwahalaa bucwani ni ma pepa aku lekela mwateñi lika amañata kwa tuko nima hutu yahae
4029583519,This shows a group of people standing in a crowded street but with several people including 4 women and a black male standing by a table that has some papers and a couple of coffee cups on it .,see sibonisa sikwata sa batu baba yemi mwa mukwakwa onani batu babañata
402978771,"A woman wearing a vertical striped top , sitting on a bench beside a telephone booth in a train station .","musali yatinile sapalo sa mishulundu, uinzi fa sipula bukaufi ni luwaile"
4029918745,"One child sitting on the grass , and the other child is holding a stick .",mwanana yomumwi uinzi fa bucwani mi yomumwi usweli kakota
4029929673,"Other children look on as a boy in a yellow coat holds a red pot by the handle , tilting it towards a light orange tube .",banana babamwi basweli babuha mwanana wamuchaha yatinile jansi yamubala wa mai asweli poto kwa siswalelo
4030022254,Sisters waiting for their dinner to be served at a restaurant while listening to live music .,likezeli zepeli balitela lico zabona kuli lilu kisiwe inze bautwela kwa lipina
40302299,A group of kids are standing in a passageway and two adult males are standing behind them .,sikwata sa banana bayemi ba nzila mi baana babahulu baba beli bayemi kwamulaho wabona 
4030620867,A man in a light green shirt and jeans on a street corner pointing to a location out of view of the picture for a woman in white pants .,muuna yamwa sapalo sa mubala wa ma tali ni bulukwe fa lineku la mukwakwa usupa sibaka sesimwi
4030623833,A welder waiting for the mold to warm in a car assembly company in the city of Angeles .,mulukisi wa lisipi ulitela kuli sipi yeshengunuke ichise mwa katengu kaka lukisa limota ka kwa sibaka sa Angeles
4030638908,"A short white hair women in front of a wooden lattice door wearing ethnic clothes , beads , and scandal , brushing a clay stoop with a bunch of long green leaves on stems .","musali yomuku swani, yomusweu, wabulizi fapataa munyako obetilwe utinile litino zamwa naha yeo"
4031278022,"Here is a picture of a bald man with a beard and sunglasses , washing his hands at a spring or waterfall .",see kisi swaniso sa muuna wa sitenda nimilelo ni magilasi akwa meto utapa kwa mazoho
4031301793,An Oriental man with glasses and a colorful vest is walking down the street with a girl with blond-hair .,muuna yatinile magilasi akwa meto ni ka njamala kaka buheha uzamaya mwa silalanda ni musizani
4031513473,Two men talking and observing fruit that 's on show and for sale at an open fruit market while another woman is also observing the wares .,baana baba beli inge babulela niku talimela miselo yebehilwe kwa musika wa litolwani ni miselo
4031539901,A group of individuals at a bar wait at the counter for a bartender to take their order .,sikwata sabatu kwa sibaka koku nwiwa bucwala inge balitela ya bona zaku lukisa kuli aba tiseze zeba tokwa
4031997820,Some men are sitting or laying around with bags and piles of things around them .,baana babamwi bainzi kamba kulobala fa masaka nili bundu za lika inge liba tingulukile
4032238990,A man with a mustache wearing a black and red plaid shirt plays guitar .,muuna wamu lelu utinile sapalo sesi nsu ni bufubelu uliza gita
4032257125,A woman in a floral print shirt laying in the grass with yellow and orange leaves around her .,musali umwa sapalo sama palisa bulobezi mwa bucwani mi matali a mubala wa mai amutingulukile
4032520378,A woman checks her rings while standing next to another woman in front of a mirror .,musali utalima maseka yahae inze ayemi bukaufi nimusali yomumwi fapataa siponi
4032977916,A woman in a white and beige-striped sweater answers telephones in an office .,musali yamwa sweta yeswei ni mishulundu ya kaki ualaba luwaile mwa ofisi.
4033018747,A man wearing a sweater is pushing an old man wearing a suit and blue tie in a wheelchair next to a row of bookshelves .,muuna yatinile sweta ukasha munamuhulu wamu chembele yatinile suti mwa sizamayelo sa lihole za mahutu
4033049067,A man giving a slide show presentation to a group of people .,muuna usweli wafa ngambolo ya kubonisa liswaniso fa ka tepu tepu kaka bonisa kwa sikwata sa batu
403308982,A man in a red shirt and a black and blue striped shirt are singing into microphones .,muuna yamwa sapalo se si fubelu ni mishulundu yeminsu waopela
403373142,"A boatman in a coolie hat and purple shirt and a child paddle a small boat over placid , muddy water .",mufului mwa kuwani ni sapalo mi mwanana usweli wa fuluha mukolo
4033789272,"Two older men speak into microphones on a stage , while a projector screen displays a vintage photo of a young man behind them .",baanabahulu baba beli basweli babulela
4033800420,Two men in suits sitting on stage with microphones near their mouths and a powerpoint picture in the background .,baana baba beli bamwa ma suti bainzi kwapataa batu nitu pangaliko twa kutumusa mazwi bukaufi ni milomo yabona
403523132,A dog on wood floor is staring at a yellow ball that is lying on orange carpet .,nja ye fafasi italimezi mbola ya mubala wa mai mi ilobezi fa lisila
4035351596,Blond woman looking down over a wooden rail .,musali yomu fubelu itali mela fafasi njanji yama pulanga
4035354150,A lady in a bikini is pouring a drink into a red cup for a man who is wearing trunks and sunglasses .,kalibe wamusali yamwa ka putula kakuba palela kwa liwate uselela muuna zakunwa mwa komoki yefubelu
4035527590,A construction worker with a hard hat and green gloves standing shoulder deep in still water facing away from camera .,muyahi wa kuwani yetata ni zakutina kwamazoho zamubala wa matali uyemi mwa mezi yamu chikiseza mwa ma heta
4036388209,A woman in a black shirt getting emotional while talking into a microphone .,musali yamwa sapalo sesi nsu utwala kutomoha pilu inze a bulela kwa ka pangaliko kaka yumusa linzwi
403678611,A man with a black hat and black beard is reading a magazine sitting on a blue bench .,muuna yatinile kuwani yensu ni milelu yeminsu ubala kashango kamakande ainzi fa sipula 
4036817468,Young male white boy who is dressed in blue jeans and yellow long-sleeved shirt is climbing a tree .,muchaha wamukuwa utinile mwa bulukwe ni sapalo sa mazoho yama telele wapahama
4036819980,"A young redheaded girl , wearing a yellow shirt , black pants , and sneakers , jumping in a grassy field with blue skies and wispy clouds in the background .","musizani wamilili yemi fubelu utinile sapalo samubala oswana ni mai, bulukwe bobunsu ni makatulo"
4037128007,A worker is power washing the sidewalk outside of an estate surrounded by an iron fence .,mubeleki usweli wa tapisa lineku la mazamayelo amukwakwa mwa sibaka sesi tingulukilwe ki mawaya
4037148542,A group of people holding papers and microphones stand in front of a man with his face painted like a mime .,sikwata sabata baba sweli ma pepa nitupangaliko totu tumusa linzwi bayemi fapataa muuna
4037153114,A group of three violinists made up of two guys and one woman are playing while man in the audience closes his eyes .,"kakwata ka balizi ba litolombita baba lalu, kanani michaha baba beli ni musali alimumwi "
4037734292,A man laying on the street with men and woman walking all around them .,"muuna ulobezi mwa mukwakwa, baana ni basali inge bazamaya bukaufi niyena nikumufitelela"
4038121720,"A conductor of a train leans out of a window and looks to the right , while another man inside of the carriage looks towards some gauges .",mutusi wamuzaisi wa sitima usikamezi kwa lisuba la sitima atalimezi kwa bulyo
403844559,"Three kids running and falling down a hill towards a parking lot , where a woman is digging in her purse by a car .",banana baba beli inge bamata ni kuwa fafasaa kalundu kamwa sibapalelo
4038718263,There are two shadowy men standing along side a stream that runs through a paved courtyard in front of some stairs .,miluti yebonahala inge ya baana baba beli baba yemi kwatuko ni kanuka
4039390335,"Women wearing floral , cultural dresses are standing around a barrel of bread at an outdoor sale .","basali bamwa mandelesi ya lipalisa, ya sizo bayemi kutinguluka mboki kwa munyako "
4039846249,"A boy in sunglasses , a blue , hooded , zipped up sweater and brown shorts is running from a camp of tents .",mutangana umwa ma gilasi akwa meto ni sweta yenani kuwani ni kaputula
4039941514,"A man is standing on a stage , speaking , and there is a phrase projected on a screen behind him .",muuna uyemi fapilaa batu inge abulela mi kunani zebonisizwe fa sitepu tepu
4041300706,A shirtless man uses a long reaching tool to paint a ceiling white .,muuna ya situtu usweli sibelekiso sesi telele inze a beya mubala omusweu kwahalimu yandu
4042055730,Two small children and a man and a woman are dressed as skeletons .,"banana baba beli, muuna ni misali batinile sina masapo"
404216567,A woman in a bright safety jacket is standing next to large pipes .,musali yamwa jakete yaku belekisa uyemi bukaufi ni mihala yemituna
4042423864,"Two older men with walking sticks , wearing baggy middle eastern shepherd 's clothing , one of whom is wearing a turban and the other a skull cap are crouching on pavement in front of a blue wall .",baanabahulu baba beli babazamayela familamu batinile litino ze tuna zebizwa Middle Eastern shepherd
4042504561,A group of people sitting in on a conference and listening to the guest speaker .,sikwata sabatu babainzi mwa sibaka sa mukopano bautwela mubuleli wa mweñi
40425624,A man in a short-sleeved white shirt is standing beside a man in a long-sleeved white shirt with the sleeves rolled up .,muuna yamwa sapalo sesi sweu sa mazoho yama kuswani uyemi bukaufi ni muuna yatinile sapalo se sisweu sa mazoho yamatelele
4042638258,"Looks like a man transporting a family , consisting of a mother , a father , and a son , to some destination","kubonahala inge muuna yaisa lubasi lolu nani ndate, mee ni mwana bona wa muchaha"
4042673790,"A man in a white shirt , blue jeans , and open-toed sandals is sitting on a subway seat .","muuna yamwa sapalo se sisweu, bulukwe bwa mubala wa malu ni makatulo yabonisa minwana uinzi mwa sipula sa sitima"
4042758072,The boy in the black and yellow mask is talking with the man in the blue shirt .,mutangana yamwa lisila lelinsu lakwa lingo ni mulomo ubulela ni muuna yatinile sapalo sa mubala oswana ni malu
404284286,A christian woman is ironing clothes and making alterations to them .,musali wamu kreste usweli waotolola litino nikuzi lukisa hande
4043081763,Male conductor of a train or trolley looking out the window of the train or trolley .,mutusi wa muzaisi wa sitima wa mutangana utalimela fande a sitima
4043318461,A middle-aged man is using a hammer and metal spike and splitting a log .,muuna wali limo za fa hali hali uitusisa sinatiso ni sipi kuli apazule kota
4043319999,A row of cars parked outside a dark city street .,buñata bwali mota ze bulukilwe mwa silanda moku sina liseli
4043418437,A smiling man in a blue jacket and black vest stands in front of a crowd of marchers near a red tent with green trees in the background .,"muuna yamwa jakete ya mubala oswana ni malu, ni njamala yensu, wamenya inze ayemi fapilaa ngundi yabatu"
4043883681,A woman is carving an ice sculpture with a knife .,musali usweli wabeta fa mezi akangezi ni tipa
4043955739,Two middle-aged men are playing the drums wearing black rock-band t-shirts in a basement .,baana bali limo zafa hali hali baliza milupa batinile liapalo za sikwata sa balizi zensu
4044232507,An older woman with three children and one of the children is crying .,musali muhulu nibana baba lalu mi yomumwi kubona wa lika
4044342247,The band is practicing before the championship game .,sikwata sa baopeli basweli baitukiseza mukopano usika kala kale
4044612196,Construction workers are walking down a hallway of a building they are constructing .,bayahi bazamaya fahalaa muyaho wo basweli kuyaha
404491917,A black-haired swimmer in a pool .,mutapi wamwa mezi wa milili yeminsu umwa sitapelo samezi
4045084364,A football team is playing football while people are watching from the sidelines .,baba pali ba mbola yama hutu basweli balaha mi batu babuha
4045265278,A woman in pink and a man wearing an apron watch a food covered grill .,musali nu muuna yatinile litino za kuapehela babuha lico zekwahezwi
4045308081,A child with curly blond-hair looks at another child with long brown hair while sitting on a bench .,mwanana wamilili yetatani yemi fubelu utalimezi mwanana yomumwi wa milili yemitelele
4045361947,"A man with a beard sits with a guitar that 's opened up , and wires exposed .",muuna wa mulelu uinzi ni gita inze ikwaluhile nima waya yabonahala
4045372755,A man and a woman sit in front of a computer and other equipment looking at various scenes on the monitor .,muuna ni musala bainzi fapilaa sitepu tepu ni tupangaliko totumwi inze batalimela lipona zeshutana shutana
4045401639,A man in a black shirt playing a guitar while another man watches .,muuna yamwa sapalo sesinsu uliza gita mi yomumwi inze abuha
4045411879,A man wearing a yellow safety vest watches other workers on machinery .,muuna yatinile njamala kuisileleza yeswana ni mubala wa mai ubuha babeleki babamwi
4045414573,A guitarist tuning his electric guitar on the set of what appears to be a television program .,mulizi wa gita uswala swala kwa gita yahae fa sitepu tepu
4045661794,"This photo looks like students perhaps , four of them in a classroom computer lab setting ; one is looking toward the camera , the others ( two with name place holders showing ) are looking away , mostly in a studious position .",siswaniso see si bonahala inge bana ba sikolo mwendi babane kubona bamwa kilasi yebona za tupangaliko
4045843128,Two people are having a conversation as they sit at the bar .,batu baba beli babulelisana inze bainzi kwa senwelo sa bucwala
404591372,Two firemen in blue uniforms standing around with there hands in their pockets .,baana baba beli baba tima mililo bamwa litino zaku sebelisa za mubala oswana sina malu mazoho yabona ali mwali pokoto
404591376,Two men in blue uniforms use yellow tape to section off an area within a white wooden fence .,baana babeli bamwa litino zakuvelekisa za mubala oswana sina malu baitusisa silamatiso sa mubala oswana sina wa mai kukwala kapakani
4045973322,A man and woman in business attire ascend escalator .,muuna ni musali bamwa litino za kuezeza mwateñi liteko 
4046071738,A small child with blond-hair and a pink shirt stands alone on a bridge .,mwanana yomunyinyani wa milili yemifubelu yatinile sapalo uyemi anosi fa masilelo a nuka
4046112444,A man sits alone with gloves on at a red table that holds a keyboard and many accessories on top of it .,muuna uinzi anosi ni zaku tina kwamazoho fa tafule ye fubelu yesweli siñoliso nizemwi
4046178292,A woman in a red shirt looks very happy next to a man playing a guitar in a very futuristic setting while a camera records them both .,musali yamwa sitino sesi fubelu ubonahala kutaba bukaufi ni muuna yaliza gita
404619468,Two men in Middle Eastern dress sit on plastic milk crates and smile at the camera .,baana baba beli bamwa litino zakwa Middle East bainzi fahakunwaa limbokesi za mabisi mi bamenya inze batalimezi koba swanisezwa
40464580,A man wearing a beanie and blue jacket is standing near a wooden pole and squinting through the sunlight .,muuna yatinile kakuwani ni jakete ya mubala oswana sina malu uyemi bukaufi ni pulanga yebetilwe
